0.5 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.709 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.71 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.711 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.712 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.713 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.714 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.715 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.716 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.717 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.718 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.719 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.72 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.721 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.722 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.723 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.724 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.725 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.726 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.727 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.728 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.729 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.73 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.731 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.732 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.733 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.734 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.735 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.736 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.737 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.738 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.739 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.74 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.741 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.742 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.743 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.744 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.745 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.746 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.747 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.748 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.749 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.75 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.751 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.752 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.753 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.754 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.755 No. of Outliers: 86, Clusters : 4, Silhoutte -0.04859999939799309
0.756 No. of Outliers: 84, Clusters : 4, Silhoutte -0.03200000151991844
0.757 No. of Outliers: 84, Clusters : 4, Silhoutte -0.03200000151991844
0.758 No. of Outliers: 84, Clusters : 4, Silhoutte -0.03200000151991844
0.759 No. of Outliers: 84, Clusters : 4, Silhoutte -0.03200000151991844
0.76 No. of Outliers: 84, Clusters : 4, Silhoutte -0.03200000151991844
0.761 No. of Outliers: 84, Clusters : 4, Silhoutte -0.03200000151991844
0.762 No. of Outliers: 84, Clusters : 4, Silhoutte -0.03200000151991844
0.763 No. of Outliers: 84, Clusters : 4, Silhoutte -0.03200000151991844
0.764 No. of Outliers: 84, Clusters : 4, Silhoutte -0.03200000151991844
0.765 No. of Outliers: 84, Clusters : 4, Silhoutte -0.03200000151991844
0.766 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.767 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.768 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
